NIT,Nombre_Empresa,Apellido,Email,Telefono,Ciudad,Cupo_Total,Estado,Total_Pagos,Meses_Historial
901973300,GLOW PREMANENT SAS ZOMAC,,glowdistribuidora23@gmail.com,3212818197,SAN JOSE DEL GUAVIARE (G/VIARE),6000000,Activo,,
901809312,DOTACIONES Y BORDADOS PRYCA SAS,,dotacionesybordadospryca1@gmail.com,3146755652,CALI (VALLE),3000000,Activo,,
901932123,VOLT UP SAS,,voltup.admi@gmail.com,3045920722,BOGOTA (C/MARCA),10000000,Activo,,
901256954,CLINICA VETERINARIA VITAL PET S.A.S,,vitalpetsradm@gmail.com,3117193883,SANTA ROSA DE CABAL (RS),4000000,Activo,,
900953782,ECOECOEQUIPOS COLOMBIA SAS,,compras@ecoequiposcol.co,3102046418,BARRANQUILLA (ATL),10000000,Activo,,
811038648,EQUIPOS DE ALQUILER PARA LA CONSTRUCCION,,Compras@saeco.com.co,3188339060,GALAPA (ATL),10000000,Activo,,
901553361,ELECTRO AGROS LA TRONCAL,,electroagrolatroncal@gmail.com,3113017737,SAN ONOFRE (SUCRE),3000000,Activo,,
900987092,COMERCIALIZADORA HA&A SAS,,comercializadorahenaoalbor2016@gmail.com,3125824764,MALAMBO (ATL),8500000,Activo,,
901925760,CHADIE PETS SAS,,chadiepets@gmail.com,3173828020,CALI (VALLE),5000000,Activo,,
900557498,JEDISMAR SAS,,jedismarsas@gmail.com,3143694188,BOGOTA (C/MARCA),8500000,Activo,,
901833873,PINTUAUTOS EL TERMINAL,,pintuautoselterminal@gmail.com,3104930650,SOLEDAD (ATL),3000000,Activo,,
901591492,INVERAMA CAPITAL SAS,,facturainverama@gmail.com,3166949772,MEDELLIN (ANT),12000000,Activo,,
901833525,ALFA DESARROLLO INMOBILIARIO S.A.S,,alfadesarrolloinmobiliario@gmail.com,3006021127,BARRANQUILLA (ATL),4000000,Activo,,
901404416,INVERSIONES GARCES LARA SAS,,jpmvz@hotmail.com,3162523641,PALMIRA (VALLE),8000000,Activo,,
901377092,R & F INVERSIONES S A S,,aquelarre.adm@gmail.com,3134997272,BOGOTA (C/MARCA),5000000,Activo,,
901048121,GRUPO PVCENTRO SAS,,contabilidad@pvcentrosas.com,3104638818,CAUCASIA (ANT),30000000,Activo,,
901804230,"SERVICIOS INTEGRALES DE SUMISTROS, LOGISTICA Y ADMINISTRACIÓN S.A.S",,SISLAGERENCIA@GMAIL.COM,3173220889,BOGOTA (C/MARCA),15000000,Activo,,
805003019,RAMIREZ TRUJILLO Y CIA SAS,,gerencia@ramireztrujillo.com,3154892222,CALI (VALLE),200000000,Activo,,
901184611,GAMA INGENIERIA Y SERVICIOS 1 A S A S,,gamaingenieria1a@gmail.com,3154105218,CALI (VALLE),100000000,Activo,,
901812431,CENTRO DE MEDICINA ANIMAL SAS,,cma.urgenvet@gmail.com,3015654546,CALI (VALLE),8500000,Activo,,
901476220,COMERCIALIZADORA CASA DE REINAS,,casadereinasdistribuidora@gmail.com,3146902953,YOPAL (C/NARE),25000000,Activo,,
901460130,TERRABLANCA SAS,,administrativo2@cotesycotes.com,3212491258,BARRANQUILLA (ATL),20000000,Activo,,
900530150,CONSTRUCTORA ANAYA GIRALDO SAS,,compras@agconstructora.com.co,3106321533,SOLEDAD (ATL),50000000,Activo,,
901476076,M&M GLOBAL SOLUTION S.A.S. ZESE,,mmglobalsolutionsas@gmail.com,3142187367,TAME (ARAU),4000000,Activo,1.0,0.0
901733466,SOCIEDAD AUTOPARTES BORRÉ S.A.S,,gerencia@autopartesborre.com,3106827189,BARRANQUILLA (ATL),6000000,Activo,,
901863391,I LATINA COLOMBIA SAS,,contabilidad@ilatinacol.com,3002950990,BOGOTA (C/MARCA),6000000,Activo,1.0,0.0
900673058,HANNAS MOTOS SAS,,notificaciones.judiciales@hannasmotos.com,3138548267,TOCANCIPA (C/MARCA),6000000,Activo,,
901380324,BARBERÍA Y SALÓN DE BELLEZA CHANO SAS,,barberiachanosas@gmail.con,3102194324,ARAUCA (ARAU),10000000,Activo,,
901525157,DISTRIBUCIONES FARMAEXITO S A S,,distribuciones.farmaexito@gmail.com,3212365915,ARAUQUITA (ARAU),15000000,Activo,,
900934461,CONINCAG SAS,,CONINCAG@GMAIL.COM,3178945464,BOGOTA (C/MARCA),30000000,Activo,,
901770469,DISPROVIC LA MANSIÓN DE LA BELLEZA,,disprovic2022@gmail.com,3115297998,PAZ DE ARIPORO (C/NARE),5000000,Activo,,
901991202,MINESCO VET S A S,,nicovet2023@gmail.com,3246815884,PEREIRA (RS),1000000,Activo,1.0,0.0
901825227,DROGUERIA SERVISALUD TOLEMAIDA SAS,,droservisaludsas@gmail.com,3125294046,NILO (C/MARCA),10000000,Bloqueado,5.0,0.3942181340341655
901931565,ELECTROACABADOS YIA SAS,,electroacabados2025@gmail.com,3011458489,CHINU (CORD),5000000,Activo,1.0,0.0
901570652,ZIANEM INGENIERIA S A S,,zianemingenieria@gmail.com,3012317572,BARRANQUILLA (ATL),3000000,Activo,1.0,0.0
901340678,VELEZGO S A S,,proyectos@velezgo.com.co,3014522138,RIONEGRO (ANT),30000000,Activo,2.0,1.1169513797634691
901427853,ROCA BIKE IMPORTACIONES S A S,,rocabikeimportaciones@hotmail.com,3144742944,BOGOTA (C/MARCA),20000000,Bloqueado,,
900525196,TECNOLOGIA SOLAR DE COLOMBIA S A S BIC,,angelica.ramos@tesocol.com,3183323503,PALMIRA (VALLE),100000000,Activo,,
901556259,INVERCERAMICAS Y ASOCIADOS S A S,,danikerpisosacabados@gmail.com,3008299546,SINCELEJO (SUCRE),10000000,Activo,,
901423960,GREEN PLANET SCOOTER STORE SAS,,carloslopez417@hotmail.com,3168101000,BOGOTA (C/MARCA),8000000,Activo,3.0,0.3613666228646517
901463952,CONSTRUYENDO ING SAS,,contable@construyendoingsas.com,3205211976,SINCELEJO (SUCRE),5000000,Activo,,
900123646,PASAJES Y ENCOMIENDAS ANMY S A S,,t-salo@hotmail.es,3138700198,SABANA DE TORRES (STDER),1500000,Activo,,
900744047,TAS INGENIERIA S A S,,TASINGENIERIA@GMAIL.COM,3152570503,BARRANQUILLA (ATL),5500000,Activo,1.0,0.0
901528474,MASCOFARMA PRODUCTOS Y SERVICIOS VETERINARIOS S A S,,MASCOFARMA2023@GMAIL.COM,3127941963,MANIZALES (CDAS),3000000,Activo,3.0,0.8869908015768725
901864262,PRIME SOLUTIONS ENTERPRISE S A S,,primesolutionsenterprisesas@gmail.com,3023152677,BARRANQUILLA (ATL),30000000,Activo,,
900259881,ACIMENTAR SAS,,ACIMENTAR@GMAIL.COM,3244944788,RIONEGRO (ANT),10000000,Activo,,
901455904,CITY BIKE COLOMBIA SAS,,citybikecolombia13@gmail.com,3014405316,BOGOTA (C/MARCA),7520000,Bloqueado,3.0,0.0
901330477,TR GLOBAL S A S,,maskottcheng@gmail.com,3164744001,PEREIRA (RS),6000000,Activo,6.0,0.2956636005256242
900696236,DOZER CONSTRUCCIONES S A S,,admon@dozer.page,3237082975,BARRANQUILLA (ATL),30000000,Activo,,
901415616,FERRETERIA LA 32 PLUS S A S,,materpinla32@hotmail.com,3205224731,SINCELEJO (SUCRE),10000000,Bloqueado,,
901955186,HYD MOTORENS SAS,,FACTURASHYDMOTOREN@GMAIL.COM,3102063400,MONTERIA (CORD),24000000,Activo,6.0,2.0696452036793693
900421844,MANTENIMIENTO DE EDIFICIOS P H S A S,,facturacionph@bodegasdeoriente.com,3011810808,RIONEGRO (ANT),6000000,Activo,8.0,1.4126149802890933
901914139,DROGUERIA HIPERPHARMA OBANDO SAS,,hiperpharmaobando@gmail.com,3246507122,EL ROSAL (C/MARCA),2500000,Bloqueado,,
901246455,DESARROLLA S A S,,contabilidad@desarrolla.com.co,3118600829,RIONEGRO (ANT),10000000,Activo,3.0,0.0
901411345,MY FRIENDS VETERINARIA SAS,,marcevet86@hotmail.com,3007644534,CALI (VALLE),1500000,Activo,1.0,0.0
901859687,GRUPO COCINA PACIFICO FONTANAR SAS,,gcpfontanar@gmail.com,3113839776,CHIA (C/MARCA),1000000,Activo,3.0,1.5440210249671484
901888250,Vitex Servicios S.A.S,,vitex2025@gmail.com,3226521814,PUERTO WILCHES (STDER),10000000,Activo,4.0,1.0183968462549278
900489904,HZ INGENIEROS CIVILES S A S,,hzingenierosciviles@gmail.com,3012388158,RIONEGRO (ANT),10000000,Activo,2.0,1.281208935611038
901616612,INVERSIONES CREACION INMOBILIARIA SAS,,creacioninmobiliariassas@gmail.com,3122626527,BOGOTA (C/MARCA),6000000,Activo,1.0,0.0
900338058,SRC CONSTRUCCIONES Y ASESORIAS S A S,,srcarpio1@gmail.com,3006109850,BARRANQUILLA (ATL),7000000,Activo,3.0,1.1826544021024967
900443090,COVECO DE COLOMBIA S A S,,administracion@coveco.com.co,3157535438,CARTAGENA (BOL),50000000,Activo,,
901413812,INVERSORA FAM G&P S A S,,inversorafamgyp@gmail.com,3135187573,BARRANQUILLA (ATL),8000000,Activo,3.0,1.0512483574244416
901045381,DISTRIBUCIONES Y CONSTRUCCION S A S,,distribucionesis17@gmail.com,3046500424,BARRANQUILLA (ATL),4000000,Activo,1.0,0.0
901181409,INVERSIONES NEBRASKA S A S,,isa-restrepo@hotmail.com,3176432753,RIONEGRO (ANT),10000000,Activo,1.0,0.0
901905809,SUPERMATERIALES AIM SAHAGUN SAS,,901905809@GLERPMAIL.COM,3006926601,SAHAGUN (CORD),5000000,Activo,,
901728508,FERRETERIA EL TREBOL C&M S A S,,ferreteriaeltrebol7@gmail.com,3106052312,SINCE (SUCRE),10000000,Activo,1.0,0.0
900351362,AGROMACH S A S,,agromach14@hotmail.com,3106455815,VALLEDUPAR (CES),10000000,Activo,1.0,0.0
900663817,SAGMAN PROYECTOS INGENIERIA Y AMBIENTE S A S,,sagmaning@gmail.com,3045394803,BARRANQUILLA (ATL),12000000,Bloqueado,2.0,0.0
901687224,Ferrelectro rionegro  S.A.S,,ferrelectrosas905@gmail.com,3105519705,RIONEGRO (ANT),8000000,Bloqueado,35.0,2.5295663600525624
